Barcode,Nama Item,Subkategori,Harga,price2,pcs2,price3,pcs3,Link,Thumbnail
711844150034,ABC SYRUP LECI 460ML,Minuman Ringan,11400,135600,12,135600,12,https://yoline.co.id/media/products/ProductSyrupsuashdelightlychee_abc_460ml.png,
711844150003,ABC SYRUP SQUAS ORANGE 525ML,Minuman Ringan,13200,13200,1,13200,1,https://images.tokopedia.net/img/cache/700/product-1/2020/5/12/82576742/82576742_8e681c5f-1a00-4adb-baeb-b023c546219c_800_800,
8990505011019,AMOR STARQUEEN CKLT 380G,Cemilan & Biskuit,25900,77400,3,153600,6,https://down-id.img.susercontent.com/file/92dbc39a93d465037a833c684b1728b4,
8990505011033,AMOR STARQUEEN PANDAN 350G,Cemilan & Biskuit,25900,77400,3,153600,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuEWju6LkE7GdimMx7t5nsZ_E14MwyLwhivw&s,
8990505011026,AMOR STARQUEEN STRAW 350G,Cemilan & Biskuit,25900,77400,3,153600,6,https://yoline.co.id/media/products/ProductAmosparkstrawberry330ml.jpg,
8997208740260,ARISCO ASTOR SDG 400G,Cemilan & Biskuit,21500,63900,3,126000,6,https://down-id.img.susercontent.com/file/id-11134207-7r992-lut3x0qgs5mx46,
8886001026056,ASTOR CHOCOLATE 40G,Cemilan & Biskuit,4900,4900,1,4900,1,https://images.tokopedia.net/img/cache/700/hDjmkQ/2022/10/9/b8dea01a-877e-402d-9a55-8148f30d16f1.jpg,
8996001352205,ASTOR CHOCOLATE TIN 156G,Cemilan & Biskuit,21500,64200,3,127800,6,https://arti-assets.sgp1.digitaloceanspaces.com/megaswalayan/products/469902b8-129d-4cd6-b319-0b2ef038ddbd.jpg,
8886001038028,ASTOR CHOCOLATE TIN 330G,Cemilan & Biskuit,28700,85800,3,171000,6,https://arti-assets.sgp1.digitaloceanspaces.com/megaswalayan/products/7eba696b-b871-40d5-acd7-9703e075ecb3.jpg,
8997025913069,ASW APILO 2IN1 CHO&VNL 350G,Cemilan & Biskuit,32500,97200,3,193200,6,https://jumbo.co.id/wp-content/uploads/2021/05/ddd8a052e3ba7ab96b1df818a056dad0.jpg,
8997025913304,ASW APILO CHEESE 325G,Cemilan & Biskuit,32500,97200,3,193200,6,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/catalog-image/103/MTA-158192347/apilo_asw_apilo_wafer_cheese_tin_325_gr_full03_cb86thny.jpg,
8997025914202,ASW APILO CHOCOLATE 350G,Cemilan & Biskuit,32500,94200,3,193200,6,https://images.tokopedia.net/img/cache/700/hDjmkQ/2023/4/9/021c1d6b-8ddc-4638-b8e8-e64eee706c9d.jpg,
8997025914417,ASW APILO SPOT CAPUCINO 525G,Cemilan & Biskuit,29300,29300,1,29300,1,https://images.tokopedia.net/img/cache/700/product-1/2018/3/14/1402541/1402541_1d1ccfaa-cbc7-4fa3-9a30-317ea531e9c5_700_700.jpg,
8997025914400,ASW APILO SPOT CHOCO 525G,Cemilan & Biskuit,29300,29300,1,29300,1,https://d1d8o7q9jg8pjk.cloudfront.net/p/lg_5e5a20ba0e41d.PNG,
8997025911621,ASW APILO SPOT STRAW 525G,Cemilan & Biskuit,29300,29300,1,29300,1,https://images.tokopedia.net/img/cache/700/hDjmkQ/2022/3/14/1c8c47e8-e663-4896-904e-0aca8536d5ac.jpg,
8997025916251,ASW DELUX ASS CKS CRM 324G,Cemilan & Biskuit,57300,57300,1,57300,1,https://down-id.img.susercontent.com/file/id-11134207-7r98t-lsxsf52mw29p59,
