Barcode,Nama Item,Terjual,Harga (1),Harga (2),pcs2,Harga (3),pcs3,Katagori,Link,thumbnail,total_sales,image_link_wp
8995003400365,EFATA 220ML 48,"15458,00 PCS",600,17.500,48,17.500,48,Air Mineral,https://images.tokopedia.net/img/cache/500-square/product-1/2020/2/6/7350599/7350599_6c4a3117-ec8b-4f1f-84ac-c0ce22013b6d_1250_1250.jpg,,15458,https://www.smputra.com/wp-content/uploads/2024/10/EFATA_220ML_48.jpg
89686010947,INDOMIE GORENG 85G,"11409,00 PCS",3.000,17.700,6,113.000,40,Makanan Instan & Kaleng,https://salt.tikicdn.com/cache/w300/ts/product/a7/cc/6a/f5a3c18cc26167372445071dedfa5a12.jpg,,11409,
8997225400024,1000 BINTANG GULA 220G,457 PCS,4.500,52.800,12,52.800,12,Bahan & Bumbu Masakan,https://tokoelmanna.com/wp-content/uploads/2022/09/Gula-pasir-bintang-1.png,,457,
8997225400031,1000 BINTANG GULA 450G,"523,00 PCS",9.000,53.400,6,211.200,24,Bahan & Bumbu Masakan,https://tokoelmanna.com/wp-content/uploads/2022/09/Gula-pasir-bintang-1.png,,523,
8997225400079,1000 BINTANG GULA 900G,"483,00 PCS",17.700,211.200,12,211.200,12,Bahan & Bumbu Masakan,https://tokoelmanna.com/wp-content/uploads/2022/09/Gula-pasir-bintang-1.png,,483,
8992780030013,2 TANG CLP BLACK TEA 25 50G,"40,00 PCS",6.400,6.400,1,6.400,1,Teh,https://down-id.img.susercontent.com/file/4b438a53919510994ed56f69a2614bc2,,40,
8992780030150,2 TANG CLP BLACKTEA SCT 5S,"154,00 PCS",1.000,12.000,12,12.000,12,Teh,https://images.tokopedia.net/img/cache/700/VqbcmM/2022/2/9/baa7acfd-4cde-40de-a747-f0da288729b0.jpg,,154,
8992780030075,2 TANG CLP GEEN TEA 25 50G,"10,00 PCS",16.000,16.000,1,16.000,1,Teh,https://image.astronauts.cloud/product-images/2024/4/2TangGreenTeaTehCelup2grX251_f4298b77-ac5d-4831-9f9f-6559f8329f1b_900x900.png,,10,
8992780030105,2 TANG CLP JASMINE PR 25 50G,"148,00 PCS",10.400,10.400,1,10.400,1,Teh,https://raisa.aeonstore.id/wp-content/uploads/2023/04/1006605.jpg,,148,
8992780130102,2 TANG CLP JASMINE SCT 5S,"119,00 PCS",1.500,1.500,1,1.500,1,Teh,https://down-id.img.susercontent.com/file/966423cc58b02ff5c45f6a3a156a2989,,119,
8992780030020,2 TANG CLP MELATI BOX 25 50G,"72,00 PCS",8.000,8.000,1,8.000,1,Teh,https://images.tokopedia.net/img/cache/250-square/VqbcmM/2024/1/15/f617b544-b5b5-4968-909d-fa75f3c7ded7.jpg?ect=4g,,72,
8992780030198,2 TANG CLP VANILLA B 25 50G,"40,00 PCS",6.600,32.500,5,32.500,5,Teh,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/medium//102/MTA-57759023/2-tang_2-tang-teh-celup-vanilla-25-s_full01.jpg,,40,
8992780010121,2 TANG IJO PACK 10 8G,"1251,00 PCS",5.700,28.200,5,28.200,5,Teh,https://images.tokopedia.net/img/cache/700/VqbcmM/2022/6/23/5720966a-343d-408f-ab8d-43bb62dc8947.jpg,,1251,
8992780010091,2 TANG SUPER KUNING P 10 10G,"787,00 PCS",6.500,32.250,5,32.250,5,Teh,https://img.ws.mms.shopee.co.id/bd2bee0f00a29a434425647fb9735df4,,787,
8992780010084,2 TANG SUPER PRM BIRU 10 10G,"1986,00 PCS",8.500,42.200,5,42.200,5,Teh,https://o-cdf.oramiland.com/unsafe/cdnapi.sooplai.com/media/products/279868/183df736-04c.png,,1986,
89686000108,3 AYAM MIE TELUR 2000,757 PCS,1.900,10.800,6,10.800,6,Bahan & Bumbu Masakan,https://images.tokopedia.net/img/cache/700/hDjmkQ/2024/3/16/f518ae0d-422b-4ab4-8b8e-a3850ed09985.jpg,,757,
89686000061,3 AYAM MIE TELUR KUNING 200G,"135,00 PCS",5.300,31.200,6,31.200,6,Makanan Instan & Kaleng,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//97/MTA-23126659/3_ayam_mie_telur_cap_3_ayam_-200_gr-__freshbox_full02_ufpdvr9t.jpg,,135,
89686000016,3 AYAM MIE TELUR MERAH 200G,"185,00 PCS",4.500,26.400,6,26.400,6,Makanan Instan & Kaleng,https://images.tokopedia.net/img/cache/700/hDjmkQ/2021/12/16/dc0fa753-7145-432e-aad3-26f9b16e3211.jpg,,185,
8997204670332,5DAYS CROISSSANT COKLAT 60G,102 PCS,5.800,5.800,1,5.800,1,Makanan Instan & Kaleng,https://images.tokopedia.net/img/cache/500-square/product-1/2020/4/13/2217345/2217345_d548e8d9-0c9b-4240-8c0a-e478b69b42fb_1095_1095.jpg,,102,
2045212,ABC BATTERY BESAR,13 PCS,8.000,8.000,1,8.000,1,Produk Eletronik,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2020/10/12/e18fe941-3e83-4397-b6b1-3d3efd43886e.jpg,,13,
2045211,ABC BATTERY KECIL,419 PCS,2.600,2.600,1,2.600,1,Produk Eletronik,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ21qQVwBsK3YpEe0lU6o6zXbErTLME21-DAg&s,,419,
8991002122000,ABC CHOCOMALT COFE 200ML,"65,00 PCS",3.400,19.800,6,19.800,6,Minuman Ringan,https://images.tokopedia.net/img/cache/700/hDjmkQ/2022/11/2/d1619865-b727-4ce7-b698-7f98fbfa1ac3.jpg,,65,
8991002122017,ABC EXO MILK COFFE 200ML,"70,00 PCS",3.600,21.000,6,21.000,6,Minuman Ringan,https://images.tokopedia.net/img/cache/700/VqbcmM/2023/1/19/ce5219a9-e27e-40ac-8743-cd7cc8a03c95.jpg,,70,
711844115057,ABC KCP ASIN 133ML,"40,00 PCS",5.500,5.500,1,5.500,1,Bahan & Bumbu Masakan,https://www.ubbarokah.com/wp-content/uploads/2024/01/ub_abc_kecap_asin_133ml.webp,,40,
711844110762,ABC KCP EXT PDS 135ML,"34,00 PCS",11.500,11.500,1,11.500,1,Bahan & Bumbu Masakan,https://images.tokopedia.net/img/cache/700/hDjmkQ/2022/12/14/1bf73370-5928-45ed-970e-9ac0ae3360ff.jpg,,34,
711844110755,ABC KCP EXT PDS PCH 70G,54 PCS,2.600,15.000,6,29.400,12,Minuman Instan,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//95/MTA-4198702/abc_kecap_abc_70gr_pouch_extra_pedas_full02.jpg,,54,
711844140127,ABC KCP INGGRIS 195ML,"12,00 PCS",13.800,41.100,3,81.600,6,Bahan & Bumbu Masakan,https://images.tokopedia.net/img/cache/700/VqbcmM/2022/6/6/fdbe9139-58b7-4cf5-9a75-5e8230e1bf18.jpg,,12,
711844110113,ABC KCP MANIS 135ML,"44,00 PCS",8.300,49.200,6,97.200,12,Bahan & Bumbu Masakan,https://images.tokopedia.net/img/cache/700/VqbcmM/2022/9/28/80673ba9-a120-40a6-9e9a-1a670206ba9c.jpg,,44,
8994907000466,ABC KCP MANIS 15ML 12s,"51,00 BND",5.200,30.600,6,60.000,12,Bahan & Bumbu Masakan,https://images.tokopedia.net/img/cache/700/VqbcmM/2020/11/20/ea83527f-540c-43e9-a4e8-2c134215b14e.jpg,,51,
711844110083,ABC KCP MANIS 275ML,"25,00 PCS",20.200,60.300,3,120.000,6,Bahan & Bumbu Masakan,https://images.tokopedia.net/img/cache/700/product-1/2020/5/15/batch-upload/batch-upload_b04c9bf2-418e-46c0-b868-ee2ee27d66cd.jpg,,25,
711844110144,ABC KCP MANIS PCH 250G,"108,00 PCS",7.500,44.400,6,44.400,6,Bahan & Bumbu Masakan,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/catalog-image/112/MTA-170679459/abc_abc_kecap_manis_pouch_250ml_full02_ctz1uopm.jpg,,108,
8994907003405,ABC KCP MANIS PCH 450G,42 PCS,12.900,76.800,6,152.400,12,Bahan & Bumbu Masakan,https://down-id.img.susercontent.com/file/id-11134201-7r98y-lvu6bn719ezv45,,42,
7118441101378,ABC KCP MANIS PCH 600G,"26,00 PCS",19.800,118.200,6,235.200,12,Bahan & Bumbu Masakan,https://arti-assets.sgp1.digitaloceanspaces.com/dutalia/products/ca86b073-2398-43c0-8e1a-04553fe32ea7.jpg,,26,
711844110182,ABC KCP MANIS PCH 62G,"443,00 PCS",1.900,22.200,12,42.000,24,Bahan & Bumbu Masakan,https://allofresh.id/media/catalog/product/cache/6151a33a02c2f3881cb02a785f0fe387/b/r/brc-711844110182-1.jpg?1727886464,,443,
8991002101968,ABC KOPI GULA AREN BAG,70 BND,11.900,35.400,3,70.200,6,Kopi,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2022/11/2/64a5f1a2-675b-4b8e-99e5-4c7a94d99444.jpg,,70,
8991002101999,ABC KOPI KLEPON 25G 5s,130 BND,11.200,33.300,3,66.000,6,Kopi,https://arti-assets.sgp1.digitaloceanspaces.com/megaswalayan/products/46da4797-f746-4c49-91be-4929209a617e.jpg,,130,
8991002101746,ABC KOPI MOCCA 27G 5s,"83,00 BND",8.600,25.500,3,50.400,6,Kopi,https://down-id.img.susercontent.com/file/id-11134207-7r98o-lvzke9lmkl1pef,,83,
8991002101265,ABC KOPI PLUS 18G 11s,133 BND,8.500,25.200,3,50.400,6,Kopi,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//catalog-image/94/MTA-102108962/abc_kopi-abc-plus-10-sachet_full01.jpg,,133,
8991002101630,ABC KOPI SUSU 30G 5s,"789,00 BND",9.200,27.300,3,54.000,6,Kopi,https://images.tokopedia.net/img/cache/700/product-1/2018/3/12/657658/657658_aeed7e5b-0059-405f-9ea9-194b18ad6085_311_403.png,,789,
8992388132324,ABC MIE PEDAS NAMPOL 70G,"102,00 PCS",3.000,17.700,6,111.000,40,Makanan Instan & Kaleng,https://down-id.img.susercontent.com/file/06da5e910571621b7b1fe1cb9836488f,,102,
8992388145492,ABC MIE PEDAS NAMPOL AYAM 80GR,125 PCS,3.000,17.700,6,111.000,40,Makanan Instan & Kaleng,https://arti-assets.sgp1.digitaloceanspaces.com/renyswalayanku/products/2885b39d-9464-4ae1-9463-25193f251eaa.jpg,,125,
8992388112401,ABC MIE SELERA P A LIMAU 85G,"43,00 PCS",3.000,17.700,6,111.000,40,Makanan Instan & Kaleng,https://images.tokopedia.net/img/cache/700/VqbcmM/2022/6/8/a8ec9c51-da5d-40e2-9d80-08fc70ee09b4.png,,43,
8992388111206,ABC MIE SELERA P GULAI A 70G,"216,00 PCS",2.400,14.100,6,87.500,40,Makanan Instan & Kaleng,https://down-id.img.susercontent.com/file/63e46f0188165cc242016e847ba1da32,,216,
8992388111138,ABC MIE SELERA P SEMUR A 70G,"152,00 PCS",2.400,14.100,6,88.000,40,Makanan Instan & Kaleng,https://down-id.img.susercontent.com/file/id-11134207-7r98q-llithzltuqepfa,,152,
8992388111145,ABC MIE SELERA P SUP TMT 70G,"98,00 PCS",2.400,14.100,6,88.000,40,Makanan Instan & Kaleng,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/6/8/2a99cc67-ff18-4eae-b1b9-39b232e5af6b.jpg,,98,
711844330108,ABC SARDEN CABAI 155G,"122,00 PCS",11.500,68.400,6,135.600,12,Makanan Instan & Kaleng,https://images.tokopedia.net/img/cache/700/product-1/2020/5/3/822503529/822503529_42e1e76a-2259-4706-b835-cd4d519f97e8_709_709.jpg,,122,
711844330115,ABC SARDEN CABAI 425G,"22,00 PCS",26.200,78.300,3,156.000,6,Makanan Instan & Kaleng,https://images.tokopedia.net/img/cache/700/VqbcmM/2023/2/4/62d19231-8ddb-4ca4-a24b-2b66d840eca8.jpg,,22,
711844330146,ABC SARDEN EXT PEDAS 155G,"242,00 PCS",11.500,68.400,6,135.600,12,Makanan Instan & Kaleng,https://down-id.img.susercontent.com/file/d2260af58d36c6b2e74f112e93466b71,,242,
